tar,fuzzer,run,sample,replay_rc,server_rc,reproduced,note
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000000,sig:06,src:000061+000315,op:splice,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000001,sig:06,src:000313+000452,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000002,sig:06,src:000461,op:havoc,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000003,sig:06,src:000461+000023,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000004,sig:06,src:000353,op:havoc,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000005,sig:06,src:000353,op:havoc,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000006,sig:06,src:000442+000123,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000007,sig:06,src:000039+000477,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000008,sig:06,src:000284+000511,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000009,sig:06,src:000387,op:havoc,rep:2",0,0,False,server_timeout
