tar,fuzzer,run,sample,replay_rc,server_rc,reproduced,note
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000000,sig:06,src:000061+000315,op:splice,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000001,sig:06,src:000313+000452,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000002,sig:06,src:000461,op:havoc,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000003,sig:06,src:000461+000023,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000004,sig:06,src:000353,op:havoc,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000005,sig:06,src:000353,op:havoc,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000006,sig:06,src:000442+000123,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000007,sig:06,src:000039+000477,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000008,sig:06,src:000284+000511,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000009,sig:06,src:000387,op:havoc,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000010,sig:06,src:000387,op:havoc,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000012,sig:06,src:000003+000522,op:splice,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000013,sig:06,src:000003+000522,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000014,sig:06,src:000003+000522,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000015,sig:06,src:000462+000005,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000017,sig:06,src:000385,op:havoc,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000018,sig:06,src:000504,op:havoc,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000019,sig:06,src:000522+000479,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000020,sig:06,src:000434+000533,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000021,sig:06,src:000484,op:havoc,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000022,sig:06,src:000197+000569,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000023,sig:06,src:000568+000557,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000024,sig:06,src:000568+000557,op:splice,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000025,sig:06,src:000376+000251,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000026,sig:06,src:000570,op:havoc,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000027,sig:06,src:000539+000266,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000029,sig:06,src:000680,op:havoc,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000030,sig:06,src:000680+000361,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000031,sig:06,src:000201+000533,op:splice,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000032,sig:06,src:000594+000055,op:splice,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000033,sig:06,src:000624,op:havoc,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000035,sig:06,src:000699+000177,op:splice,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000036,sig:06,src:000519,op:havoc,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000037,sig:06,src:000430+000532,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000038,sig:06,src:000546+000681,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000039,sig:06,src:000698,op:havoc,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000040,sig:06,src:000698+000515,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000042,sig:06,src:000693+000638,op:splice,rep:128",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000044,sig:06,src:000759,op:havoc,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000046,sig:06,src:000377+000764,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_1.tar.gz,aflnet_1,,"id:000047,sig:06,src:000705,op:havoc,rep:2",0,0,False,server_timeout
