tar,fuzzer,run,sample,replay_rc,server_rc,reproduced,note
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000000,sig:06,src:000126+000129,op:splice,rep:128",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000001,sig:06,src:000154+000299,op:splice,rep:16",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000002,sig:06,src:000109+000363,op:splice,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000003,sig:06,src:000309,op:havoc,rep:4",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000004,sig:06,src:000309,op:havoc,rep:32",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000005,sig:06,src:000234+000363,op:splice,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000006,sig:06,src:000234+000363,op:splice,rep:2",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000007,sig:06,src:000376+000070,op:splice,rep:64",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000008,sig:06,src:000408+000401,op:splice,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000009,sig:06,src:000408+000365,op:splice,rep:2",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000010,sig:06,src:000314,op:havoc,rep:64",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000011,sig:06,src:000448+000021,op:splice,rep:32",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000012,sig:06,src:000452+000310,op:splice,rep:4",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000013,sig:06,src:000347+000470,op:splice,rep:8",0,0,False,server_timeout
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000014,sig:06,src:000411,op:havoc,rep:32",0,0,False,
out-bftpd-aflnet_3.tar.gz,aflnet_3,,"id:000015,sig:06,src:000458,op:havoc,rep:16",0,0,False,
